Tên job,Tên Công ty,Mức lương,Thương lượng lương,Mô tả công việc,Cấp bậc,Yêu cầu công việc,Quyền lợi,Quy trình phỏng vấn,Công nghệ sử dụng,Cách thức ứng tuyển
"Front-end Developer (JavaScript, ReactJS)",Eduvator,,1,"Strategy: Work with our digitalization team in building an end-to-end platform, build scalable, modular, extensible and reusable custom UI components. Participate in and drive design-thinking sessions to understand and define the functional requirements. Execution: Work on developing engaging and user-centric web and mobile applications with a cross- functional team consisting of product/ project managers, solutions architects, software engineers, DevOps, and other specialists. Participate in full life-cycle library, component and application design and development. Design and create automated tests to ensure the functionality of solutions components and applications. Design, develop and integrate RESTful/ GraphQL based microservices. Fixing bugs improves the application stability and code quality Support: Participate in code reviews and advocate best practices. Support, maintenance and documentation of software functionalities and technical specifications.",Middle,"At least 2 years of experience Proficient in JavaScript, ECMA Script, or TypeScript. Experience with modern tech stacks, such as ReactJS, NodeJS, MongoDB, and associated ecosystems. Experience in GIT, SVN, or other version control tools. Experience with server-side rendered web development. Experience with browser APIs and optimizing front-en performance. Familiarity with ReactJS. Experience in NextJS is an advantage. Familiarity with UI framework: Chakra, Material UI, ... Familiarity with web security, SEO, accessibility, and internationalization. Familiarity with Docker and/ or other related container technologies/ tools. CI/ CD pipeline tool is an advantage. Knowledge of usability principles and cross-browser compatibility. University Graduated, majoring in Computer Science, Information Technology. Especially graduated from University of Science, University of Information Technology - VNUHCM, Bach Khoa University, .. is a plus.","OT, lunch allowance, living allowance, transportation allowance ... Provided with Macbook Pro M1/M2, Extra Monitor Contribution to Social, Health and Unemployment Insurance as per Law Chance to work in a dynamic, flexible and open working environment Promotions, training opportunities, IELTS courses, and other benefits as per Company’s policies Take part in team-building activities, company trips. Working time: 9am to 6pm, Monday to Friday Extra paid day-off",Round 1 : CV Screening Round 2 : Technical Test + Technical Interview Round 3 : Final Interview,"['JavaScript', 'Front-End', 'ReactJS', 'TypeScript', 'NextJS']",apply in https://topdev.vn/detail-jobs/23
"Backend Developer (.Net core, Node JS) - Tiger tribe",HEINEKEN Vietnam,,1,"Key responsibilities: Work with Global & Regional Product Owners to develop scalable, world class Digital Products loved by our customers, consumers & colleagues. Drive and support the discovery of innovation opportunities across the entire HEINEKEN value chain. Support in Scrum activities within the Development Team. Represent Tiger Tribe on the Global stage within HEINEKEN and the industry as a thought leader for Tech Innovation. Collaborate closely with Designers and Front-End Developers to improve front end development principles for mobile applications and ensure standards are being met by development teams. Support user testing in product development aligning closely with UX/UI design team members and specialists. Support common development patterns and practices in development teams and build up a global repository of shared components. Follow the branching strategy used by the development teams to ensure optimal source code management. Directly involved in the 3rd level support of Digital Products developed by Tiger Tribe. Work with testing and quality team members to ensure standards and best practises are introduced. Contribute to rational design decisions from business and technical perspectives and clearly communicate recommendations. Drive the design and development practises for modern web APIs built on Microsoft stack technologies in line with global strategy. Key contacts and contact purpose: Works with the Regional & Global stakeholders and Tiger Tribe team members to build best in class Digital Products. Works with global Architecture and Technology teams on establishing Technical Strategy in key areas. Drives innovation in collaboration with Global Innovation and Local Teams. Works with Data & Analytics Teams. Aligns cross functionally with all business units to drive Digital Product development and innovation. Works closely with Vietnam OpCo to drive new product development and testing directly with end users. Works closely with all HEINEKEN OpCos on new Digital Product developments. Works closely with the Tiger Tribe supporting team members and the VN D&T team. Measures of success / KPI’s: Business KPI’s related to the value and impact of Digital Products and Innovations. Successful deployments of Digital Products. Continuous usage and happiness of users (NPS). Stability and measured support level of Digital Products. Continuous improvement of capabilities/solutions/processes/people.",Senior,"Experience / skills required: Bachelor / Master’s Degree (Information Technology, Computer Science, Software Engineering) 3+ years’ experience in software development projects Good understanding and experience of Agile development practices and ways of working. Experience with cloud platform such as Microsoft Azure or AWS. Strong experience in using design patterns such as Dependency Injection, Inversion of Control, Singleton, Factory, Façade that provided support for these coding patterns. Good knowledge in building testable software, abstraction layers, and mock objects. Experience in unit test frameworks Experience in containerization. Good communication skills, able to present to key stakeholders and make technical subject matter understandable to non-technical audiences. Experience with third party vendors & suppliers, e.g., in managing and coordinating them effectively. Familiar with Toolchain activities related to DevOps and Mobile Application deployment. Strong background in customer-focused technology business. An entrepreneurial mind-set and an ability to connect with internal and external audiences including senior management. Knowledge of API technologies ideally Dell Boomi and APIConnect. Language(s): Fluent English Fluent Vietnamese Leadership Competencies : CONNECT, SHAPE, DELIVER, DEVELOP Other: Agile mind-set: For Heineken the Agile mind-set is centred around four principles; focus on customer value, power to the teams, start quick and smart and learn relentlessly. As Tiger Tribe developer, it is important that you own these principles and integrate them in daily life. Further, self-reflection, learning agility and resilience are important characteristics that determine where you can thrive in an Agile environment. Engaging with these characteristics and become more self-aware of personal strengths and weaknesses, makes majors strides in development of yourself and others.","A diverse and open working culture, where your true identity is celebrated. Multiple career opportunities to rotate within Functions or cross-functions. Your wellbeing will be taken care by our Health & Safety Team since Day 1. Be a part of our sustainability journey in Brewing the Better Vietnam. Performance appraisal twice a year to guarantee constructive feedback Performance bonus (estimated at least 3 months) and 13th month salary bonus Bao Viet Insurance for employees and family Annual leave: 18 days/year Flexible benefit voucher 80% lunch in canteen Annual team building, Town hall, YEP Gift for special holidays and sponsor traveling ticket in Tet Holiday Từ thứ 2 đến thứ 6 (Sáng 8h00-12h00, Chiều 13h00-17h00)",Round 1 : Screening by phone -> 1st interview with LM: Overview Round 2 : 2nd interview with LM: Case study Round 3 : Final interview with D&T Director & People Business Partner,"['NodeJS', '.NET', 'Back-End']",apply in https://topdev.vn/detail-jobs/24
BackEnd Developer (NodeJS),Eduvator,,1,Design and architect software features Working with managers and team members understand the features and implementation of the website Working with IT team to come up with new ideas and features to develop and improve internal product Write clean code to develop functional APIs Build reusable code and libraries for future use Troubleshoot and debug applications Optimization of the application for maximum speed and scalability Implementation of security and data protection Set up and maintain project wiki/documentation.,"Junior, Middle, Senior","University Graduated, majoring in Computer Science, Information Technology. Especially graduated from University of Science, University of Information Technology - VNUHCM, Bach Khoa University, .. is a plus. Min 2 years of experience in software development for enterprise solutions, especially in using NodeJS. Has experience in NodeJS, and is familiar with ExpressJS. Apollo Server is an advantage. Has good knowledge of SQL, NoSQL database, able to write complex query. MongoDB is an advantage. Is comfortable or familiar with Docker. Has good problem-solving skills and is well versed in string / array manipulation. Good knowledge of git source control. Can learn new technology quickly.","OT paid rate up to 2.0, meal allowance, accommodation allowance, cummuting allowance ... Provided with Macbook Pro M1/M2; Extra 4K Monitor Contribution to Social, Health and Unemployment Insurance as per Law Chance to work in a dynamic, flexible and open working environment Promotions, training opportunities, IELTS courses, and other benefits as per Company’s policies Take part in team-building activities, company trips. Working time: 9 am to 5 pm, Monday to Friday Extra paid day-off",Round 1 : Phone Screening with HR Round 2 : Online Technical Test Round 3 : Online Interview,"['NodeJS', 'Back-End', 'ExpressJS', 'NestJS', 'GraphQL']",apply in https://topdev.vn/detail-jobs/25
Web Designer,CÔNG TY TNHH ASTRA TECHNOLOGY,Lên tới 2******* VND,0,"Thiết kế UI/UX cho trang web và ứng dụng web Trao đổi với PM và Dev để Chuyển đổi dữ liệu, ý tưởng và yêu cầu thành các thiết kế hấp dẫn Minh họa ý tưởng thiết kế bằng cách sử dụng storyboard, luồng quy trình và sơ đồ trang web Thiết kế các thành phần giao diện người dùng (GUI) như menu, tab, v.v. Xây dựng các nút điều hướng trang và các trường tìm kiếm. Phát triển các bản mô phỏng UI và nguyên mẫu minh họa rõ ràng cách các trang web hoạt động và hiển thị. Tạo ra các thiết kế đồ họa gốc (e.g., images, sketches, tables...) Xác định và khắc phục các vấn đề UX (e.g., responsiveness) Thực hiện các điều chỉnh bố cục dựa trên phản hồi của người dùng. Tuân thủ các tiêu chuẩn về kiểu chữ, màu sắc và hình ảnh.","Middle, Senior","Sử dụng thành thạo các công cụ thiết kế như Adobe Creative Suite (Photoshop, Illustrator, XD, ...) và Figma Kinh nghiệm sử dụng các công cụ quản lý như Git Khả năng làm việc nhóm và giao tiếp tốt Khả năng giải quyết vấn đề và tư duy sáng tạo Hồ sơ cần nộp: CV BẮT BUỘC : Portfolio (bao gồm các dự án thiết kế và xuất bản)","Lương: Trao đổi trực tiếp khi phỏng vấn, đảm bảo tương xứng với năng lực và kinh nghiệm. Đóng bảo hiểm 100% lương 13 ngày phép/ năm. Nghỉ lễ Tết theo quy định của Công ty và Luật lao động. Thưởng và du lịch năm theo chính sách của công ty Trợ cấp ăn trưa, xăng xe, điện thoại… Môi trường làm việc trẻ trung, năng động. Sếp thân thiện, dễ tính và rất chăm lo cho đời sống nhân viên Thứ 2 - thứ 6: 8:00h – 17:00h ( nghỉ trưa từ 11h30 đến 13h) | Sáng thứ 7 cách tuần: 8h: 11h30 ( 1 tháng làm 2 sáng thứ 7)",Round 1 : Vòng CV Round 2 : Phỏng vấn,"['CSS', 'UX/UI Design', 'JavaScript', 'HTML', 'Web Design']",apply in https://topdev.vn/detail-jobs/26
Hanoi-Senior UX/UI Designer (Game)-TS051302-UX/UI,Talent Success,,1,"Phối hợp với Game Designer và Developer để lên ý tưởng, đảm bảo sự nhất quán và hiệu quả trong thiết kế Tham gia cùng team định hình style art cho game, concept items, background…. Nghiên cứu và phân tích data người chơi để hiểu và đáp ứng nhu cầu của họ thông qua giao diện và trải nghiệm người dùng Tối ưu hóa UI/UX để tăng tính thẩm mỹ, tính tương tác và tạo ra trải nghiệm người dùng tốt nhất Thử nghiệm, đánh giá và điều chỉnh liên tục UI/UX dựa trên phản hồi từ người chơi và dữ liệu phân tích Đảm bảo UI/UX tuân thủ các tiêu chuẩn và hướng dẫn về thiết kế và trải nghiệm người dùng Theo dõi xu hướng và công nghệ mới trong lĩnh vực thiết kế UI/UX và ứng dụng chúng vào sản phẩm của công ty Thiết kế các ấn phẩm, hình ảnh phục vụ việc quảng bá, marketing cho các sản phẩm game của công ty",Senior,"Có ít nhất 5 năm kinh nghiệm làm UX/UI cho game mobile Hiểu biết sâu về nguyên tắc thiết kế giao diện người dùng (UI) và trải nghiệm người dùng (UX) Có khả năng tạo ra giao diện người dùng thẩm mỹ, dễ sử dụng và tương tác trên nhiều nền tảng, từ điện thoại di động đến máytính và các thiết bị cầm tay khác Hiểu rõ về quy trình phát triển game và cách vận hành của các khâu sản xuất Thành thạo Photoshop, biết sử dụng Figma là một lợi thế Thẩm mỹ tốt, hiểu biết bố cục màu sắc, mảng, khối Có khả năng phân tích dữ liệu và phản hồi từ người chơi để hiểu và đáp ứng nhu cầu của họ Có khả năng giao tiếp mạch lạc và hiệu quả với các thành viên trong đội phát triển game, từ nhà thiết kế đến lập trình viên vàquản lý dự án Nhiệt tình và có trách nhiệm trong công việc Có kinh nghiệm ở vị trí Graphic Design là 1 lợi thế","Thưởng các dịp lễ Tết và các phúc lợi khác Review lương 02 lần/năm Cung cấp thiết bị làm việc Làm việc 05 ngày/tuần (Nghỉ thứ 7 và Chủ Nhật) 2 tháng thử việc, nhận 85% lương chính thức Bảo hiểm sức khoẻ phục vụ khám chữa bệnh tại các hệ thống bệnh viện quốc tế Du lịch nghỉ dưỡng 02 lần/năm Bảo hiểm xã hội và nghỉ phép theo quy định của pháp luật Môi trường trẻ, năng động, thân thiện Làm việc dân chủ, đóng góp, trao đổi ý kiến với cấp trên; Nâng cao chuyên môn nghiệp vụ, hiểu biết thêm về các lĩnh vực liên quan đến sản xuất game;",Round 1 : Test + Phỏng vấn,"['UX/UI Design', 'Photoshop', 'Game Design']",apply in https://topdev.vn/detail-jobs/27
2D Animator (Game),CÔNG TY CỔ PHẦN SUNTEK,,1,"Creates computer generated animation of symbols, effects, UI, and characters using Spine& After effects. Possesses advanced and applied understanding of animation principles timing, Staging, anticipation, squash and stretch etc. Strong animation fundamentals with a focus on human, animals, creatures, and mechanical movement. Collaborates with Art Director, 2DArtists to finalize Animations for each project. Provides artwork for review at appropriate stages and applies feedback accordingly with quick turnaround. Prepares data for in-game implementation, working within production requirements in collaboration with the Software team Modifies game art under tight deadlines.",Senior,"Bachelor’s degree in information technology, Engineering, Computer Science or relevant fields 3+ years’ experience in 2D animator (Web & Mobile) Good English communication Understands a broad range of game types, products, and platforms. Can complete complex data setup of complex game art parts, and use new techniques, products, and platforms with some support. Understands development process for game art development, handles data setup, and can identify/propose process improvements. Aligns each game s art creation with the functional spec/graphic proposal, including conceptual art and storyboards. Creates animations focusing on visual reinforcement of game rules and game flow. Storytelling capability- able to use pose and composition to create clear definable moment. Able to use various digital inking and rendering methods and styles Strong understanding of all aspects of concept art regarding illustration and design. Experience with Adobe applications such as After Effects, Photoshop, Illustrator etc. Experience with Spine, Adobe After effects (or others animation software), Adobe Illustrator","13th-month salary Review salary once per year Insurances such as Vietnamese labor law Meal and parking allowances are covered by the company Exciting company outings/events and team-building activities Open, friendly, professional working environment, values-driven, and agile culture. Attractive career path, we focus on your development Sponsorship for training courses, and professional certificates Work-life balance 40-hr per week from Mon to Fri",Round 1 : Phỏng vấn qua điện thoại Round 2 : Phỏng vấn trực tiếp với Tech Lead Round 3 : Deal lương,"['Photoshop', 'Illustrator', 'Adobe Creative Suite']",apply in https://topdev.vn/detail-jobs/28
HN - UX/UI Designer (Game),Talent Success,,1,"Phối hợp với Game Designer và Developer để lên ý tưởng, đảm bảo sự nhất quán và hiệu quả trong thiết kế Tham gia cùng team định hình style art cho game, concept items, background…. Nghiên cứu và phân tích data người chơi để hiểu và đáp ứng nhu cầu của họ thông qua giao diện và trải nghiệm người dùng Tối ưu hóa UI/UX để tăng tính thẩm mỹ, tính tương tác và tạo ra trải nghiệm người dùng tốt nhất Thử nghiệm, đánh giá và điều chỉnh liên tục UI/UX dựa trên phản hồi từ người chơi và dữ liệu phân tích Đảm bảo UI/UX tuân thủ các tiêu chuẩn và hướng dẫn về thiết kế và trải nghiệm người dùng Theo dõi xu hướng và công nghệ mới trong lĩnh vực thiết kế UI/UX và ứng dụng chúng vào sản phẩm của công ty Thiết kế các ấn phẩm, hình ảnh phục vụ việc quảng bá, marketing cho các sản phẩm game của công ty",Senior,"Có ít nhất 5 năm kinh nghiệm làm UX/UI cho game mobile Hiểu biết sâu về nguyên tắc thiết kế giao diện người dùng (UI) và trải nghiệm người dùng (UX) Có khả năng tạo ra giao diện người dùng thẩm mỹ, dễ sử dụng và tương tác trên nhiều nền tảng, từ điện thoại di động đến máy tính và các thiết bị cầm tay khác Hiểu rõ về quy trình phát triển game và cách vận hành của các khâu sản xuất Thành thạo Photoshop, biết sử dụng Figma là một lợi thế Thẩm mỹ tốt, hiểu biết bố cục màu sắc, mảng, khối Có khả năng phân tích dữ liệu và phản hồi từ người chơi để hiểu và đáp ứng nhu cầu của họ Có khả năng giao tiếp mạch lạc và hiệu quả với các thành viên trong đội phát triển game, từ nhà thiết kế đến lập trình viên và quản lý dự án Nhiệt tình và có trách nhiệm trong công việc Có kinh nghiệm ở vị trí Graphic Design là 1 lợi thế","Thưởng các dịp lễ Tết và các phúc lợi khác Review lương 02 lần/năm Cung cấp thiết bị làm việc Làm việc 05 ngày/tuần (Nghỉ thứ 7 và Chủ Nhật) 02 tháng thử việc, nhận 85% lương chính thức Bảo hiểm sức khoẻ phục vụ khám chữa bệnh tại các hệ thống bệnh viện quốc tế Du lịch nghỉ dưỡng 02 lần/năm Bảo hiểm xã hội và nghỉ phép theo quy định của pháp luật Môi trường trẻ, năng động, thân thiện Làm việc dân chủ, đóng góp, trao đổi ý kiến với cấp trên; Nâng cao chuyên môn nghiệp vụ, hiểu biết thêm về các lĩnh vực liên quan đến sản xuất game;",Round 1 : 1 vòng phỏng vấn + Test (tùy vị trí),"['UX/UI Design', 'Game Design', 'UI/UX']",apply in https://topdev.vn/detail-jobs/29
Tuyển Back-end Developer cho Dự án KTC - Kết nối Developer Việt Nam sang làm việc lại Hàn Quốc (từ 2 - 4 năm kinh nghiệm),CÔNG TY TNHH LIKELION,,1,"Sau khi vượt qua vòng sơ duyệt CV, làm bài test và phỏng vấn sơ bộ với Like Lion, bạn có thể tham gia cùng chúng tôi với 2 class: Class 1: Dành cho người có tối thiểu từ trên 3 năm kinh nghiệm, đào tạo online trong 4 tuần ( 2 lần/ tuần, từ 6:30 ~ 8:30 tối). Class 2: Dành cho người có tối thiểu từ trên 1 năm kinh nghiệm, đào tạo online/offline trong 6 tuần (fulltime hoặc partime). Dự kiến chương trình đào tạo sẽ bắt đầu sau ngày 17/06/2024.","Junior, Middle, Senior","Bằng cử nhân Đại học/Cao đẳng với chuyên ngành có liên quan Từ 2-4 năm kinh nghiệm với Java Hiểu biết sâu về Java core, OOP Thành thạo Java Spring và Hibernate Thành thạo hệ sinh thái Spring, Micro-service, chẳng hạn như: Spring Boot, Spring Security là một điểm cộng. Hiểu biết vững chắc về cơ sở dữ liệu quan hệ và thành thạo SQL Hiểu biết và có kinh nghiệm với mô hình client-server và kiến trúc micro-service Sẽ lợi thế hơn nếu bạn có khả năng giao tiếp tốt và tinh thần hợp tác cao, trình độ tiếng Anh tương đương IELTS 6 trở lên hoặc khả năng tiếng Hàn ở mức cơ bản.","Hoàn toàn miễn phí, giảng viên chất lượng và chương trình học khớp với nhu cầu tuyển dụng thực tế tại Hàn Quốc Cung cấp hoàn toàn bữa trưa và thẻ gửi xe tại toà nhà (nếu học offline) Kết nối và hỗ trợ quá trình phỏng vấn - offer với công ty Hàn Quốc Các giờ học về tiếng Hàn, văn hoá làm việc và kỹ năng phỏng vấn với các công ty Hàn Quốc Phòng học hiện đại và tiện nghi Tham gia vào Hội chợ việc làm CNTT vào cuối Tháng 7/2024 với hơn 30 doanh nghiệp đến từ Hàn Quốc",Round 1 : Sơ duyệt CV Round 2 : Làm bài Test Round 3 : Phỏng vấn với Like Lion Round 4 : Tham gia Đào tạo Round 5 : Phỏng vấn trực tiếp với Nhà tuyển dụng Hàn Quốc,"['OOP', 'Java', 'SQL', 'Hibernate', 'Java Spring']",apply in https://topdev.vn/detail-jobs/30
Tuyển Front-end Developer cho Dự án KTC - Kết nối Developer Việt Nam sang làm việc lại Hàn Quốc (từ 2 - 4 năm kinh nghiệm),CÔNG TY TNHH LIKELION,,1,"Sau khi vượt qua vòng sơ duyệt CV, làm bài test và phỏng vấn sơ bộ với Like Lion, bạn có thể tham gia cùng chúng tôi với 2 class: Class 1: Dành cho người có tối thiểu từ trên 3 năm kinh nghiệm, đào tạo online trong 4 tuần ( 2 lần/ tuần, từ 6:30 ~ 8:30 tối). Class 2: Dành cho người có tối thiểu từ trên 1 năm kinh nghiệm, đào tạo online/offline trong 6 tuần (fulltime hoặc partime). Dự kiến chương trình đào tạo sẽ bắt đầu sau ngày 17/06/2024.","Junior, Middle, Senior","Bằng cử nhân Đại học/cao đẳng với chuyên ngành có liên quan Ít nhất 2-4 năm kinh nghiệm làm việc với ReactJS và các thư viện/công cụ liên quan như Redux, Webpack, Babel, etc. Kiến thức vững chắc về JavaScript, HTML và CSS Kinh nghiệm làm việc với các công cụ quản lý phiên bản như Git Hiểu biết về nguyên tắc thiết kế, mô hình và kiến trúc phần mềm Sẽ lợi thế hơn nếu bạn có khả năng giao tiếp tốt và tinh thần hợp tác cao, trình độ tiếng Anh tương đương IELTS 6 trở lên hoặc khả năng tiếng Hàn ở mức cơ bản.","Hoàn toàn miễn phí, giảng viên chất lượng và chương trình học khớp với nhu cầu tuyển dụng thực tế tại Hàn Quốc Cung cấp hoàn toàn bữa trưa và thẻ gửi xe tại toà nhà (nếu học offline) Kết nối và hỗ trợ quá trình phỏng vấn - offer với công ty Hàn Quốc Các giờ học về tiếng Hàn, văn hoá làm việc và kỹ năng phỏng vấn với các công ty Hàn Quốc Phòng học hiện đại và tiện nghi Tham gia vào Hội chợ việc làm CNTT vào cuối Tháng 7/2024 với hơn 30 doanh nghiệp đến từ Hàn Quốc",Round 1 : Sơ duyệt CV Round 2 : Làm bài Test Round 3 : Phỏng vấn với Like Lion Round 4 : Tham gia Đào tạo Round 5 : Phỏng vấn trực tiếp với Nhà tuyển dụng Hàn Quốc,"['CSS', 'JavaScript', 'HTML', 'ReactJS', 'Redux']",apply in https://topdev.vn/detail-jobs/31
.NET Technical Lead (.NET Core/MicroService),Terralogic,,1,Define the scope of the project in collaboration with senior management; Create a detailed work plan which identifies and sequences the activities needed to successfully complete the project; Develop a schedule for project completion that effectively allocates the resources to the activities; Review the project schedule with senior management and all other staff that will be affected by the project activities; revise the schedule as required; Determine the objectives and measures upon which the project will be evaluated at its completion.,Trưởng Nhóm,"1. Years of Experience: From 7 years experience. 2. Skills: Strong experience in planning and implementation of the project Ability to define project scope, goals, and deliverables Hands-on experience in managing the team Strong knowledge and experience in Agile methodology EduTech SME Implement and manage changes when necessary to meet project deliverables Knowledge on Dotnet, angular, QA process. Strong knowledge on DotNet Core and Micro services architecture. Strong knowledge on SQL Server and MongoDB 3. English: Good communication skills","Young, dynamic, open, friendly working environments Opportunities to work with cutting edge technologies Opportunities to work onsite at customer's offices in US, Germany, India, Taiwan ... Working time: Monday - Friday Company’s Benefits : Professional Certificate Sponsorship, Family funeral Support Extra Holiday: Sick leave (full paid): 3 days, Parental leave (for male staff): 8 days, Wedding leave: 5 days, Extra holidays for loyal staff Financial Supports : Lunch allowance, OT meal allowance, Team building allowance monthly, SNAP Award quarterly Birthday gift 13th monhly salary + performance awards + project awards Wedding and having babies Insurance : Accident Insurance 24/24, Health Insurance Events & Activities: Women’s day, Company quarterly events, Christmas, Year End Party, Company’s annual trip, Team building monthly, Sport clubs: Football, Badminton, Table Tennis",Round 1 : Screen CV Round 2 : HR contact and send you a technical test Round 3 : Offline Interview and present your test.,"['.NET', 'Technical Leader', '.NET Core']",apply in https://topdev.vn/detail-jobs/32
Java Developer (Spring/Java Core),Terralogic,,1,You will play a key role in the overall estimation of work requirements to provide the right information on project estimations to Technology Leads and Project Managers. You would be a key contributor to building efficient programs/ systems and if you think you fit right in to help our clients navigate their next in their digital transformation journey.,Senior,"1. Years of Experience: 5 years and above 2. Skills: Springboot development, Core Java & concepts around dependent technologies for web-based applications. Must have: OOPs Concepts & Design Patterns - Clean understanding of Classes and Interfaces, Constructors, File IO, and Serialization; Collections - List, Map, Set & Data Structures; Access Specifiers, Exceptions - Checked, Unchecked; Generics, JVM and Memory Management, Caching Data into memory, Service Oriented Architecture, Messaging Techniques, Complex Event Processing, Storage, and Database Technologies; Multithreading and Synchronization, Dependency Injection Nice to have: Experience with microservices & Docker will be a plus; Knowledge of Kafka, python, and ELK will be a plus; Good Problem-solving skills. 3. English: Intermediate - Upper intermediate level.","Young, dynamic, open, friendly working environments Opportunities to work with cutting edge technologies Opportunities to work onsite at customer's offices in US, Germany, India, Taiwan ... Working time: Monday - Friday Company’s Benefits : Professional Certificate Sponsorship , Family funeral Support Extra Holiday : Sick leave (full paid): 3 days, Parental leave (for male staff): 8 days , Wedding leave: 5 days, Extra holidays for loyal staff Financial Supports : Lunch allowance, OT meal allowance, Team building allowance monthly ,SNAP Award quarterly Birthday gift 13th monhly salary + performance awards + project awards Wedding and having babies Insurance : Accident Insurance 24/24 , Health Insurance Events & Activities : Women’s day, Company quarterly events, Christmas, Year End Party, Company’s annual trip, Team building monthly, Sport clubs: Football, Badminton, Table Tennis",Round 1 : Screen CV Round 2 : HR contact and send you a technical test Round 3 : Offline Interview and present your test.,"['Java', 'Spring', 'Java Core']",apply in https://topdev.vn/detail-jobs/33
UNDERWRITING SYSTEM SPECIALIST,Home Credit Vietnam,,1,"Are you ready to dive into the world of financial technology and make a tangible impact on the future of underwriting? Join our team to leverage the latest industry trends and technologies for underwriting systems, which is the core of our risk management strategies. Maintain and improve decision engine infrastructure for underwriting in both production and testing environment. Implement strategy changes into decision engine (Blaze). Design underwriting strategy workflow template for new products/project in decision engine. Cooperate with other departments on key company projects to ensure successful launch from technical perspective.",Fresher,"University graduate with GPA of 3/4 and 7.5/10 with less than 1-year working experience. Proficient in English with a level of IELTS 6.5 or equivalent. Proficiency in Java & SQL, or other programming languages to accelerate your development faster. Passion for system architecture, programming and data. Strong logical thinking, problem-solving skills, communication skills & presentation skills to detect the business situation then propose positive changes. Effectively work both in a team & on your own. Willingness to learn & absorb new knowledge. Good Customer Obsession, Entrepreneurship, Integrity, Operation Excellence & Digital Savviness mindset as it’s our core Leadership Qualities. ----------------------------------- SELECTION PROCESS Round 1– Online Application & Assessment: Within 24 working hours after submitting your online application, you'll receive 02 assessment emails for the Behavioral & Cognitive Assessments designed to uncover your personality & learning agility capability. Please complete them within 02 days to advance to the next round. Round 2 – HR Screening : Engage in a short phone conversation where we explore your overall background & career aspiration. Round 3 - HR Interview: Have an in-depth online dialogue focusing on your soft skills, motivations & culture fit, allowing us to understand the essence of who you are. Round 4 - Business Case : Showcase your technical skills, business acumen, problem-solving & presentation competencies through a real business case study/technical test. Round 5 - Department Interview: Step into the spotlight as you participate in an interview with key stakeholders to evaluate your compatibility & potential for success. Round 6 – Career Development Discussion : Join an online catch-up with HRBP & L&TD team to explore the company's broader vision insights and holistic development plan to support your career growth. Welcome Onboard : Get ready to embark on an exciting journey of growth, development & boundless opportunities.",On-hand 12-month permanent contract with 6 months of fast-track & tailored career path. Very competitive starting salary. 13 th month salary & yearly performance-based bonus. Premium health insurance package 15 annual leaves to refresh & recharge yourself Working time: Mon - Fri,non-existent,"['Java', 'SQL']",apply in https://topdev.vn/detail-jobs/34
SOFTWARE DEVELOPER,Home Credit Vietnam,,1,"If you live and breathe for crafting elegant code and building exceptional software solutions, join us to let your code have a real impact. Together, we'll embark on an exciting journey to create innovative products that serve millions of users. Participate in full-cycle software development with senior experts by designing, implementing, testing & maintaining impactful digital-financing-solutions. Directly involve in real business projects under mentorship of line manager, buddy & other top business leaders to explore & adopt cutting-edge technologies. Drive software innovation to deliver exceptional customer experience.",Fresher,"University graduates with GPA of 3/4 or 7.5/10.0 Experience in Java Development is a big plus. Proficient in English with a level of IELTS 6.0 or equivalent. Good logical, critical thinking & problem-solving to detect the business situation then propose positive changes. Effectively work both in a team & on your own. Willingness to learn & absorb new knowledge. Have Customer Obsession, Entrepreneurship, Integrity, Operation Excellence & Digital Savviness mindset, as it’s our core Leadership Qualities. ----------------------------------- SELECTION PROCESS Round 1– Online Application & Assessment: Within 24 working hours after submitting your online application, you'll receive 02 assessment emails for the Behavioral & Cognitive Assessments designed to uncover your personality & learning agility capability. Please complete them within 02 days to advance to the next round. Round 2 – HR Screening : Engage in a short phone conversation where we explore your overall background & career aspiration. Round 3 - HR Interview: Have an in-depth online dialogue focusing on your soft skills, motivations & culture fit, allowing us to understand the essence of who you are. Round 4 - Business Case : Showcase your technical skills, business acumen, problem-solving & presentation competencies through a real business case study/technical test. Round 5 - Department Interview: Step into the spotlight as you participate in an interview with key stakeholders to evaluate your compatibility & potential for success. Round 6 – Career Development Discussion : Join an online catch-up with HRBP & L&TD team to explore the company's broader vision insights and holistic development plan to support your career growth. Welcome Onboard : Get ready to embark on an exciting journey of growth, development & boundless opportunities.",On-hand 12-month permanent contract with 6 months of fast-track & tailored career path. Very competitive starting salary. 13 th month salary & yearly performance-based bonus. Premium health insurance package 15 annual leaves to refresh & recharge yourself Working time: Mon - Fri,non-existent,"['Java', 'Software Developer']",apply in https://topdev.vn/detail-jobs/35
