Công ty,Hình ảnh logo,Giới thiệu công ty,Quy mô công ty,Quốc Gia,Website công ty,Tagline,Lĩnh vực công ty,Địa chỉ công ty
Laidon Group,https://assets.topdev.vn/images/2023/03/27/TopDev-d75583db3b800902d15e721a6fb5a438-1679887354.png,"Laidon Group is a Certified SAP Silver Partner. We have been delivering solutions to enhance the SAP user experience since 1996. We specialize in delivering SAP Fiori solutions to provide our customers with the best SAP UX. We provide the expertise to guide you through your entire Fiori journey together with products to enable the delivery and management of first rate Fiori processes and apps. Delivering Insight-to-Action KPI Empowering enterprise users to access relevant tasks and activities on a single point of entry Reimagine the SAP User Experience We personalize and simplify the user experience (UX) for your SAP application. Empower and Engage Ente rprise Users with Mobility Solutions Unleash mobility solutions by building beautiful native SAP Fiori UI’s by taking advantage of iOS and Android device features Transform Every Touchpoint Data and processes that will accelerate your SAP Digital Transformation PRODUCTS AND SOLUTIONS SAP Fiori UX for SAP Applications We personalize and simplify the user experience (UX) for your SAP applications. ShipERP Fully-Integrated SAP Multi-Carrier Shipping Solution We provide organizations with shipping solutions which seamlessly integrate external systems or processes with your SAP system. Ranorex Test Automation for GUI Testing Ranorex is a GUI test automation framework, used for end-to-end testing of web-based, desktop, and mobile applications by capturing and playing back user actions. SimpleMDG SAP Cloud Platform master data governance solution SimpleMDG is an SAP Cloud Platform application for Master Data Governance. It is a cloud solution for centrally maintaining, changing and distributing of master data.",25-99,"United States, Vietnam",https://www.laidon.com/,Laidon - Empowering Simplification,B2B Services,"Quận Tân Bình, Hồ Chí Minh - Quận Hải Châu, Đà Nẵng"
INMOBI,https://assets.topdev.vn/images/2024/06/18/TopDev-434746163_122127232838228442_4530909605461933265_n---Quynh-Nguyen-Huong-1718678140.jpg,"Công ty TNHH Di động Thông minh INMOBI (viết tắt INMOBI) là công ty công nghệ thông tin chuyên về mạng xã hội Karaoke trên di động. Với nỗ lực và nền tảng hiện có, INMOBI đã tạo ra các ứng dụng ca hát đầu tiên của người Việt, do người Việt, các ứng dụng của INMOBI đã nhanh chóng phát triển, trở thành ứng dụng ca hát hàng đầu Việt Nam. Với sứ mệnh đưa âm nhạc đến gần hơn với người dùng, chúng tôi sử dụng sức mạnh công nghệ giúp mọi người thỏa sức thể hiện và phát triển kỹ năng ca hát của mình. Xây dựng và kết nối cộng đồng yêu ca hát, lan tỏa niềm đam mê ca hát đến mọi ngóc ngách của cuộc sống. Các sản phẩm của công ty: Yokara, iKara",25-99,Vietnam,https://www.inmobivn.com/,Everyone can sing,"Software, Phần Mềm","Thành Phố Đồng Hới, Quảng Bình"
TrinTech,https://assets.topdev.vn/images/2024/05/24/TopDev-aaf229d2270be04a28b0ff523f87d5be-1716541553.png,non-existent,10-24,Vietnam,non-existent,Transform Tomorrow,Giải trí/ Game,"Quận 1, Hồ Chí Minh"
BMD Solution,https://assets.topdev.vn/images/2021/11/10/TopDev-BMDLogo-1636536826.jpg,"BMD (Bussiness Mobile Development) chuyên nhận thiết kế ứng dụng, website với cam kết chất lượng, chuyên nghiệp đi kèm với tốc độ xử lý tốt nhất. bmd luôn cập nhật công nghệ mới nhằm đem lại sự hài lòng cho người dùng.Chúng tôi chuyên cung cấp các sản phẩm như app logistics (ứng dụng gọi xe, giao hàng..), website mạng xã hội, rao vặt, web app thương mại điện tử. BMD Solutions (Business Mobile Development) là đơn vị hàng đầu tại Việt Nam trong lĩnh vực gia công phát triển Phần Mềm, Ứng Dụng trên di động, cung cấp giải pháp hệ thống vận hành cho mọi Doanh Nghiệp 92 Dự Án Mobile 48 Dự Án Website 896 Khách Hàng Tìm Đến 5 năm Kinh Nghiệm Tầm nhìn, sứ mệnh: Business Chúng tôi đặt doanh nghiệp làm trọng tâm cho đối tượng phát triển của công ty. Để đạt được điều đó, ứng dụng phải đáp ứng được các tiêu chí cao cấp như đẹp mắt, dễ dùng, dễ sửa chữa và tốc độ xử lý cao. Mobile Lấy ứng dụng di động làm định hướng kinh doanh. Với hơn 3 năm kinh nghiệm, bmd tự tin với các sản phẩm mobile app đã và đang phát triển. Chất lượng sản phẩm chính là thước đo giá trị công ty chính xác nhất. Development BMD team là một đội ngũ trẻ năng động, nhiệt huyết, có nhiều kinh nghiệp trong phát triển ứng dụng di động và được đào tạo từ các trường đại học hàng đầu Việt Nam. Đó là bộ khung vững chắc của bmd.com.vn.",10-24,Vietnam,https://bmd.com.vn,Giải pháp công nghệ tối ưu nhất cho doanh nghiệp,Gia công phần mềm,"Quận Tân Bình, Hồ Chí Minh"
SanAn,https://assets.topdev.vn/images/2024/01/26/TopDev-C9QhfwA9Tjz6kO2W-1706254134.png,"SanAn là một công ty công nghệ trẻ được thành lập vào năm 2021, hiện có hơn 60 thành viên với 3 văn phòng tại Hà Nội, Thanh Hóa và Tokyo (Nhật Bản). Với sứ mệnh ""Mang đến nụ cười hạnh phúc và sự cảm động cho những người đồng hành bằng những trải nghiệm vượt ngoài mong đợi"", SanAn luôn mong muốn trở thành đối tác hàng đầu tạo ra những dịch vụ có giá trị cho người dùng, đồng thời góp phần mang lại giá trị cho những người đồng hành bằng cách tối ưu hóa sức mạnh của CNTT, vận dụng sức sáng tạo và trái tim đồng cảm. Tạo nên SanAn là một đội ngũ những người trẻ tuổi, nhiệt huyết và luôn theo đuổi 6 phương châm hành động: Change: Thay đổi không ngừng để thích nghi với xu hướng và nhu cầu của thị trường. Challenge: Luôn đặt ra những thử thách mới để vươn lên và phát triển. Communication: Cùng nhau trao đổi, chia sẻ và hợp tác để đạt được mục tiêu chung. Collaboration: Hợp tác với các đối tác để tạo ra những giá trị tốt đẹp. Creativity: Sáng tạo không ngừng để tạo ra những sản phẩm và dịch vụ đột phá. Consideration: Đặt mình vào vị trí của người khác để suy nghĩ và hành động là cách thể hiện sự tôn trọng và quan tâm. SanAn cam kết mang đến những sản phẩm và dịch vụ chất lượng trong cả 2 lĩnh vực Product và Outsourcing. Trong lĩnh vực Product, SanAn tập trung phát triển sản phẩm giải pháp quản lý giáo dục ở các nhà trẻ, trường mầm non, bậc tiểu học và các sản phẩm công nghệ khác liên quan đến trẻ em. Trong lĩnh vực Outsourcing, SanAn cung cấp dịch vụ phát triển phần mềm cho các khách hàng đến từ Nhật Bản ,...",25-99,Vietnam,https://sanancorp.com/ja/,Exceed customer expectations,Software,"Quận Cầu Giấy, Hà Nội - Thành phố Thanh Hóa, Thanh Hóa"
HEINEKEN Vietnam,https://assets.topdev.vn/images/2023/07/25/TopDev-Logo-HNK---VN---Vy-Ho-Thuy-1690250766.png,"HEINEKEN Vietnam is a successful joint venture between HEINEKEN and SATRA (Saigon Trading Group). The company has a proud history of over 30 years – growing from the first brewery in Ho Chi Minh City in 1991 to 6 nationwide with over 3,000 employees today. We take Vietnamese people on our growth journey in the country. We are currently creating 246,000 jobs across the value chain, contributing an equivalence of 1.04% of Vietnam’s total GDP to the local economy and are among the country’s top taxpayers. As a relentlessly innovative company, we combine international expertise with the local know-how and talent; and have been delighting Vietnamese consumers with a wide product portfolio for a variety of local tastes and drinking occasions, including Heineken®, Tiger, Larue, BIVINA, Bia Viet, Strongbow and Edelweiss. Many of our beers are innovations made exclusively for Vietnam and by Vietnamese brew masters. Sustainability and responsibility are the way we do business at HEINEKEN Vietnam. From day one, we have been committed to “Brewing a Better Vietnam”, and for 7 consecutive years 2016 – 2022, we have been recognized by the Vietnam Chamber of Commerce and Industry (VCCI) as one of the top 3 most sustainable companies in the manufacturing sector. Currently 96% of the energy powering our breweries is renewable and 100% of our waste and by products are reused and/or recycled. We are also passionate about advocating responsible consumption and addressing drink driving in Vietnam, and in 2020 introduced Heineken® 0.0 to support the Government’s efforts in this area. To know more about us, please visit http://heineken-vietnam.com.vn/",Over 1000,"Netherlands, Vietnam",http://heineken-vietnam.com.vn/,Heineken Vietnam - Brewing a Better Vietnam,"Kinh Doanh, Sản xuất, Manufacturing","Quận 1, Hồ Chí Minh"
NEC Vietnam,https://assets.topdev.vn/images/2021/10/11/TopDev-logoTfMFjgN0C6UmH9ZSU93bZqsO9kHoE55K-1633926986.png,"NEC established its liaison office in Vietnam in the early 1990s. In line with its growth strategy, it was re-organized as NEC Vietnam Co., Ltd. in 2006, with a newfound commitment to grow the business and contribute towards the people and society of Vietnam. In a rapidly changing business environment, we have evolved to be a comprehensive solution provider, to deliver on our core strengths of providing Solutions for Society, which involves providing social infrastructure benefiting citizens and communities. Today, we are highly dependent on ICT technologies. We are proud to say that NEC is well-positioned to meet the needs of the market, to have the relevant technologies in-house, and is ready to deliver. We provide Solutions & Services, including: 1./ Software development (Offshore) for many clients from Japan & APAC Region (Singapore, Malaysia, etc.). 2./ System integrator in the field of: Telecom Carrier Industry Retail Industry Manufacturing Industry Food and Beverage Industry Public Sector (Biometrics on Vietnam National ID, Satellite LOTUSat-1) 3./ Integrate with own and/or partner solutions. 4./ Face Recognition Solution “Smart Face Authentication”. Refer to https://www.facebook.com/NECVietnam.page for new chances and do not hesitate to apply to NEC VietNam.",100-499,Japan,https://vn.nec.com/﻿,ONE OF THE TOP ICT JAPANESE COMPANIES IN VIETNAM,Software,"Quận Tân Bình, Hồ Chí Minh - Quận Hai Bà Trưng, Hà Nội"
Eduvator,https://assets.topdev.vn/images/2024/05/02/TopDev-B7a8LPT7uCwguiYL-1714655028.png,"Eduvator is a young Edtech company specialized in personalized education. We aim to use technology to find the most suitable way of learning for each individual. As Education Innovators, we honor creativity, passion, and the ability to speak up. Eduvator provides an open space where you can freely grow and challenge yourself to unlimited opportunities. If you are looking for a place to unlock your creative mind, do not hesitate to join with us.",100-499,Vietnam,https://zim.vn,eduvator.vn,"Giáo dục, EdTech","Quận 5, Hồ Chí Minh"
CÔNG TY TNHH ASTRA TECHNOLOGY,https://assets.topdev.vn/images/2024/04/26/TopDev-ruda-1714099590.png,"Là một doanh nghiệp sản xuất phần mềm có vốn 100% Hàn Quốc  Chúng tôi cung cấp dịch vụ tự động hóa thương mại tận dụng chuỗi giá trị toàn cầu (GVC), với nền tảng kinh nghiệm thực tế về lĩnh vực thương mại và chuyên môn kỹ thuật cao về phần mềm, RUDA S&C luôn không ngừng nghiên cứu và phát triển, trở thành doanh nghiệp tương lai đồng hành phát triển cùng với các doanh nghiệp vừa và nhỏ, và những doanh nghiệp lớn trong và ngoài nước. Khởi đầu với tư cách là một công ty Start up có kỹ thuật và ý tưởng sáng tạo, RUDA S&C hi vọng có thể cùng với các công ty đối tác ưu tú trong và ngoài nước theo đuổi “ sự đổi mới mở”, không ngừng phát triển để trở thành doanh nghiệp mang tính biểu tượng trên thế giới trong tương lai. Hiện tại Ruda S&C mở rộng kinh doanh với dịch vụ gia công phần mềm cho các doanh nghiệp Hàn Quốc. Hiện chúng tôi nhận được nhiều dự án từ các doanh nghiệp Hàn Quốc nên cần thêm nhiều kỹ sư cùng đồng hành với chúng tôi. Hy vọng bạn sẽ cùng đồng hành và phát triển với chúng tôi",10-24,South-Korea,http://www.rudasoft.com/,smart and creative,Phần Mềm,"Quận Nam Từ Liêm, Hà Nội"
Talent Success,https://assets.topdev.vn/images/2022/04/21/TopDev-logoQjyw0fHIO2WnLeDsxyGfYomv5J0yPJcN-1650530733.png,non-existent,25-99,Vietnam,non-existent,Talent Success's Client,Human Resource,Hồ Chí Minh - Hà Nội - Đà Nẵng
CÔNG TY CỔ PHẦN SUNTEK,https://assets.topdev.vn/images/2024/02/27/TopDev-Logo-Suntek---Van-Nguyen-1709017080.jpg,"Welcome to Suntek, where creativity meets technology in the dynamic realm of gaming! 🚀 As a cutting-edge game studio and outsourcing powerhouse, Suntek is your passport to an exciting world of innovation and collaboration. At Suntek, we are more than just a company; we are a community of passionate creators, developers, and visionaries who come together to craft immersive and captivating gaming experiences. Our commitment to pushing the boundaries of what's possible in the gaming industry is reflected in every pixel, every line of code, and every idea that comes to life within our studio. What sets Suntek apart is our relentless pursuit of excellence and a culture that thrives on diversity, collaboration, and a shared love for gaming. As a global leader in game development and outsourcing, we take pride in our ability to seamlessly blend creativity with technical expertise, delivering top-tier solutions that captivate audiences worldwide. Joining Suntek means joining a team that values your unique skills, encourages your innovative spirit, and provides an environment where your career can flourish. Whether you're a seasoned developer looking for new challenges or a rising star eager to make your mark, Suntek is the place where your ideas can take flight. Embark on a journey with Suntek and be part of a company that doesn't just create games – we craft experiences that leave a lasting impact. Your adventure in the world of gaming starts here!",25-99,Thailand,https://www.linkedin.com/company/suntek-vietnam/,SunTek - Best Game Provider,Giải trí/ Game,"Thành phố Thủ Đức, Hồ Chí Minh"
CÔNG TY TNHH LIKELION,https://assets.topdev.vn/images/2024/05/08/TopDev-9601cb662597ea35723a0f290875137b-1715162266.png,"LIKELION là trung tâm đào tạo lập trình chất lượng tại Việt Nam. Chúng tôi không gò bó bản thân trong phương pháp giáo dục truyền thống. Bạn sẽ được học từ những chuyên gia trong ngành, tiếp cận mô hình học hiện đại và chương trình đào tạo chuyên sâu đáp ứng nhu cầu thực tế của thị trường công nghệ. Dù xuất phát điểm ở đâu, bạn đều có thể chinh phục lập trình cùng LIKELION. Sứ mệnh: Cung cấp đa dạng các khoá học lập trình giúp học viên khai phá tiềm năng bản thân và mở ra cơ hội nghề nghiệp mới. Tầm nhìn: LIKELION sẽ giữ vững chất lượng đào tạo như những gì chúng tôi đã và đang thực hiện. Tạo ra môi trường giáo dục IT nơi mà bất cứ ai cũng có cơ hội thử thách và hiện thực hoá ý tưởng bản thân. Giá trị: Những giá trị cốt lõi định hình tư tưởng, văn hoá và chiến lược của LIKELION: Loyalty - Trung Thành, Integrity - Chính Trực, Kindness - Tử Tế, Enthusiam - Nhiệt Huyết, Lion-heartedness - Dũng Cảm, Innovation - Đổi Mới, Ownership - Làm Chủ Công Việc, Nurturing - Nuôi Dưỡng Triết lý giáo dục: Luôn đặt chất lượng đào tạo, lộ trình và trải nghiệm của học viên lên làm ưu tiên hàng đầu, LIKELION xây dựng môi trường học tập năng động để bạn khai phá tiềm năng của mình.",25-99,South-Korea,https://www.likelion.edu.vn/,Hack your life,EdTech,"Quận 1, Hồ Chí Minh - Quận 7, Hồ Chí Minh"
Terralogic,https://assets.topdev.vn/images/2023/08/04/TopDev-Terralogic-Logo-%28New-2019%29---Phan-Dang-1691139009.png,"Terralogic Inc. is an Engineering & IT services company headquartered in Silicon Valley, USA. It has 1,200 employees and three development centers in the US, India, and Vietnam, providing comprehensive solutions that are cost-effective, scalable, and flexible. The company serves global clients, among them technology pioneers and industry leaders. We’re super excited to build a beautiful story in Vietnam and we want you to be a part of it!",100-499,United States,https://terralogic.com/,Design Driven Technology Innovation,Software,"Quận Tân Bình, Hồ Chí Minh"
Home Credit Vietnam,https://assets.topdev.vn/files/logos/79d367d23e39eacfc046b9a6a1bd837b.png,"Home Credit is a leading digital financing solutions firm which empowers people to live the life they want by seamlessly delivering innovative financial services through extensive insights powered by scalable technology platforms and powerful partnerships. With 9,000 POS nationwide and 6,000 employees , we have been entrusted by more than 12,000,000 satisfied customers with financial solutions and loans for the purchase of Consumer durables, Motorbikes, Cash and Credit cards...​ ​Our IT team includes +200 technologists that support Home Credit's mission to be everywhere our customers can be, online. We take advantage of the latest technologies and apply on many key digital projects such as Voicebot, IVR, Mobile App... to provide the best customer experience based on 3 criteria: quickness, convenience and friendliness.",Over 1000,Czech-Republic,https://career.homecredit.vn/,Feeling Good with Home Credit,Tài Chính,"Thành phố Thủ Đức, Hồ Chí Minh"
FREECRACY VIỆT NAM,https://assets.topdev.vn/images/2023/10/06/TopDev-logo---Anh-Vo-Phuong-1696584970.png,"Overview: freeC Asia is a headhunting service provider that offers recruitment-related services. Leveraging AI technology, freeC Consulting connects recruiters with millions of qualified candidates, saving them time and costs.Talent acquisition, management, and insights in one platform - HR All in One. We have over 550,000 candidates ranging from senior positions and above, with more than 45% specializing in the IT field.",25-99,Japan,https://freec.asia/,Nền tảng tuyển dụng thông minh tích hợp công nghệ AI,Human Resource,"Quận Bình Thạnh, Hồ Chí Minh"
